Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
52580276,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580277,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580278,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580279,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580304,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580305,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580306,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580307,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580308,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580358,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580359,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580360,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580361,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580366,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580367,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580368,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580369,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580378,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580379,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580380,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580381,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579856,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579857,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579858,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579859,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579916,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579917,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579918,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579919,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579976,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579977,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579978,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579979,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580036,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580037,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580038,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580039,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580096,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580097,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580098,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580099,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580156,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580157,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580158,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580159,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580216,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580217,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580218,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580219,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580280,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580281,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580282,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580283,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580309,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580382,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580383,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580384,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580385,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580390,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580391,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580392,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580393,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580398,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580399,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580400,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580401,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579860,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579861,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579862,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579863,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579920,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579921,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579922,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579923,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579980,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579981,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579982,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579983,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
