Información relacionada a:,Percepciones adicionales en dinero, Monto bruto y neto, tipo de moneda y su periodicidad 
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO","TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO","PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO"
52580276,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580277,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580278,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580279,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580304,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580305,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580306,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580307,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580308,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580358,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580359,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580360,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580361,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580366,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580367,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580368,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580369,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580378,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580379,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580380,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580381,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579856,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579857,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579858,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579859,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579916,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579917,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579918,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579919,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579976,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579977,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579978,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579979,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580036,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580037,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580038,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580039,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580096,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580097,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580098,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580099,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580156,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580157,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580158,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580159,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580216,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580217,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580218,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580219,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580280,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580281,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580282,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580283,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580309,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580382,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580383,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580384,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580385,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580390,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580391,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580392,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580393,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580398,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580399,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580400,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580401,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579860,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579861,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579862,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579863,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579920,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579921,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579922,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579923,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579980,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579981,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579982,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579983,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
