Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
52172317,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172318,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172319,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172320,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172321,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172322,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172413,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172414,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172415,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172416,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172417,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172418,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172509,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172510,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172511,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172512,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172513,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172514,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172605,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172606,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172607,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172608,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172609,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172610,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172701,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172702,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172703,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172704,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172705,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172706,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172708,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172709,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172710,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172711,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172712,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172713,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172719,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172720,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172721,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172722,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172723,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
