Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
112885808,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885809,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885810,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885811,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885812,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885813,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885814,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885815,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885816,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885817,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885823,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885824,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885825,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885826,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885827,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885838,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885839,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885840,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885841,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885842,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885858,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885859,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885860,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885861,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885862,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885883,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885884,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885885,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885886,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
