Información relacionada a:,Ingresos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS INGRESOS","MONTO BRUTO DE LOS INGRESOS","MONTO NETO DE LOS INGRESOS","TIPO DE MONEDA DE LOS INGRESOS","PERIODICIDAD DE LOS INGRESOS"
1583467395,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467396,"13/07/22","13/07/22","SALARIO BASE","11444.85","11444.85","MN","MENSUAL"
1583467397,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583467438,"13/07/22","13/07/22","SALARIO BASE","23182.75","23182.75","MN","MENSUAL"
1583467439,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467440,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583467488,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583467489,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583467490,"13/07/22","13/07/22","SALARIO BASE","4840.99","4840.99","MN","MENSUAL"
1583467538,"13/07/22","13/07/22","SALARIO BASE","19655.31","19655.31","MN","MENSUAL"
1583467539,"13/07/22","13/07/22","SALARIO BASE","11444.85","11444.85","MN","MENSUAL"
1583467540,"13/07/22","13/07/22","SALARIO BASE","27450.65","27450.65","MN","MENSUAL"
1583467581,"13/07/22","13/07/22","SALARIO BASE","571.49","571.49","MN","MENSUAL"
1583467582,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467583,"13/07/22","13/07/22","SALARIO BASE","29816.14","29816.14","MN","MENSUAL"
1583467628,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467629,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583467630,"13/07/22","13/07/22","SALARIO BASE","8500.96","8500.96","MN","MENSUAL"
1583467675,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467676,"13/07/22","13/07/22","SALARIO BASE","12894.73","12894.73","MN","MENSUAL"
1583467677,"13/07/22","13/07/22","SALARIO BASE","17004.96","17004.96","MN","MENSUAL"
1583467718,"13/07/22","13/07/22","SALARIO BASE","12894.73","12894.73","MN","MENSUAL"
1583467719,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467720,"13/07/22","13/07/22","SALARIO BASE","11444.85","11444.85","MN","MENSUAL"
1583467761,"13/07/22","13/07/22","SALARIO BASE","14662.72","14662.72","MN","MENSUAL"
1583467762,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467763,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467804,"13/07/22","13/07/22","SALARIO BASE","12275.61","12275.61","MN","MENSUAL"
1583467806,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467807,"13/07/22","13/07/22","SALARIO BASE","14743.24","14743.24","MN","MENSUAL"
1583467854,"13/07/22","13/07/22","SALARIO BASE","29816.14","29816.14","MN","MENSUAL"
1583467855,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583467856,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583467904,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467905,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467906,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467947,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583467948,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583467949,"13/07/22","13/07/22","SALARIO BASE","8500.96","8500.96","MN","MENSUAL"
1583467997,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583467998,"13/07/22","13/07/22","SALARIO BASE","20807.49","20807.49","MN","MENSUAL"
1583467999,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468047,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468048,"13/07/22","13/07/22","SALARIO BASE","10243.96","10243.96","MN","MENSUAL"
1583468049,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468096,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468097,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468098,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583468140,"13/07/22","13/07/22","SALARIO BASE","1143.11","1143.11","MN","MENSUAL"
1583468141,"13/07/22","13/07/22","SALARIO BASE","20063.53","20063.53","MN","MENSUAL"
1583468142,"13/07/22","13/07/22","SALARIO BASE","20807.49","20807.49","MN","MENSUAL"
1583468186,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468188,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468189,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468236,"13/07/22","13/07/22","SALARIO BASE","14662.72","14662.72","MN","MENSUAL"
1583468237,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468238,"13/07/22","13/07/22","SALARIO BASE","23182.75","23182.75","MN","MENSUAL"
1583468275,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468276,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468277,"13/07/22","13/07/22","SALARIO BASE","18373.02","18373.02","MN","MENSUAL"
