Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
1583467395,"13/07/22","13/07/22","Compensación por antigüedad","33417.1","","MN","MENSUAL"
1583467396,"13/07/22","13/07/22","Compensación por antigüedad","7439.14","","MN","MENSUAL"
1583467397,"13/07/22","13/07/22","Compensación por antigüedad","6293.28","","MN","MENSUAL"
1583467438,"13/07/22","13/07/22","Compensación por antigüedad","15068.78","","MN","MENSUAL"
1583467439,"13/07/22","13/07/22","Compensación por antigüedad","20686.78","","MN","MENSUAL"
1583467440,"13/07/22","13/07/22","Compensación por antigüedad","5093.28","","MN","MENSUAL"
1583467488,"13/07/22","13/07/22","Compensación por antigüedad","6874.72","","MN","MENSUAL"
1583467489,"13/07/22","13/07/22","Compensación por antigüedad","1742.74","","MN","MENSUAL"
1583467538,"13/07/22","13/07/22","Compensación por antigüedad","12775.94","","MN","MENSUAL"
1583467539,"13/07/22","13/07/22","Compensación por antigüedad","7439.14","","MN","MENSUAL"
1583467540,"13/07/22","13/07/22","Compensación por antigüedad","19468.72","","MN","MENSUAL"
1583467581,"13/07/22","13/07/22","Compensación por antigüedad","1785.9","","MN","MENSUAL"
1583467582,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467583,"13/07/22","13/07/22","Compensación por antigüedad","11330.12","","MN","MENSUAL"
1583467628,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467629,"13/07/22","13/07/22","Compensación por antigüedad","4897.38","","MN","MENSUAL"
1583467630,"13/07/22","13/07/22","Compensación por antigüedad","5313.1","","MN","MENSUAL"
1583467675,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467676,"13/07/22","13/07/22","Compensación por antigüedad","7414.46","","MN","MENSUAL"
1583467677,"13/07/22","13/07/22","Compensación por antigüedad","9777.84","","MN","MENSUAL"
1583467718,"13/07/22","13/07/22","Compensación por antigüedad","8059.2","","MN","MENSUAL"
1583467719,"13/07/22","13/07/22","Compensación por antigüedad","14550.42","","MN","MENSUAL"
1583467720,"13/07/22","13/07/22","Compensación por antigüedad","6294.66","","MN","MENSUAL"
1583467761,"13/07/22","13/07/22","Compensación por antigüedad","9164.2","","MN","MENSUAL"
1583467762,"13/07/22","13/07/22","Compensación por antigüedad","18829.94","","MN","MENSUAL"
1583467763,"13/07/22","13/07/22","Compensación por antigüedad","12093.8","","MN","MENSUAL"
1583467804,"13/07/22","13/07/22","Compensación por antigüedad","7365.36","","MN","MENSUAL"
1583467806,"13/07/22","13/07/22","Compensación por antigüedad","17974.04","","MN","MENSUAL"
1583467807,"13/07/22","13/07/22","Compensación por antigüedad","8845.94","","MN","MENSUAL"
1583467854,"13/07/22","13/07/22","Compensación por antigüedad","17889.68","","MN","MENSUAL"
1583467855,"13/07/22","13/07/22","Compensación por antigüedad","10848.86","","MN","MENSUAL"
1583467856,"13/07/22","13/07/22","Compensación por antigüedad","5809.18","","MN","MENSUAL"
1583467904,"13/07/22","13/07/22","Compensación por antigüedad","19095.48","","MN","MENSUAL"
1583467905,"13/07/22","13/07/22","Compensación por antigüedad","18167.22","","MN","MENSUAL"
1583467906,"13/07/22","13/07/22","Compensación por antigüedad","20513.34","","MN","MENSUAL"
1583467947,"13/07/22","13/07/22","Compensación por antigüedad","11815.92","","MN","MENSUAL"
1583467948,"13/07/22","13/07/22","Compensación por antigüedad","18299.84","","MN","MENSUAL"
