Información relacionada a:,Sistemas de compensación, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS SISTEMAS DE COMPENSACIÓN","MONTO BRUTO DE LOS SISTEMAS DE COMPENSACIÓN","MONTO NETO DE LOS SISTEMAS DE COMPENSACIÓN","TIPO DE MONEDA DE LOS SISTEMAS DE COMPENSACIÓN","PERIODICIDAD DE LOS SISTEMAS DE COMPENSACIÓN"
1583467540,"13/07/22","13/07/22","COMPENSACIÓN","15115.83","15115.83","MN","MENSUAL"
1583467583,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467719,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469471,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467762,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583467764,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467765,"13/07/22","13/07/22","COMPENSACIÓN","32309.47","32309.47","MN","MENSUAL"
1583467806,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583467854,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467855,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583467906,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583468047,"13/07/22","13/07/22","COMPENSACIÓN","34799.05","34799.05","MN","MENSUAL"
1583468189,"13/07/22","13/07/22","COMPENSACIÓN","24223.62","24223.62","MN","MENSUAL"
1583468190,"13/07/22","13/07/22","COMPENSACIÓN","9416.46","9416.46","MN","MENSUAL"
1583468238,"13/07/22","13/07/22","COMPENSACIÓN","13765.91","13765.91","MN","MENSUAL"
1583468239,"13/07/22","13/07/22","COMPENSACIÓN","21740.87","21740.87","MN","MENSUAL"
1583468275,"13/07/22","13/07/22","COMPENSACIÓN","25274.51","25274.51","MN","MENSUAL"
1583468324,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468325,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583468374,"13/07/22","13/07/22","COMPENSACIÓN","45985.36","45985.36","MN","MENSUAL"
1583468429,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583468517,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583468518,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468520,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468691,"13/07/22","13/07/22","COMPENSACIÓN","13947.71","13947.71","MN","MENSUAL"
1583468692,"13/07/22","13/07/22","COMPENSACIÓN","11922.74","11922.74","MN","MENSUAL"
1583468741,"13/07/22","13/07/22","COMPENSACIÓN","14410.32","14410.32","MN","MENSUAL"
1583468742,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468744,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468782,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583468784,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468879,"13/07/22","13/07/22","COMPENSACIÓN","17683.81","17683.81","MN","MENSUAL"
1583468974,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468978,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469074,"13/07/22","13/07/22","COMPENSACIÓN","13362.1","13362.1","MN","MENSUAL"
1583469075,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583469126,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469128,"13/07/22","13/07/22","COMPENSACIÓN","19391.86","19391.86","MN","MENSUAL"
1583469214,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469215,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469216,"13/07/22","13/07/22","COMPENSACIÓN","28684.87","28684.87","MN","MENSUAL"
1583469315,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469358,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469359,"13/07/22","13/07/22","COMPENSACIÓN","11330.88","11330.88","MN","MENSUAL"
1583469453,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469504,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469510,"13/07/22","13/07/22","COMPENSACIÓN","15656.39","15656.39","MN","MENSUAL"
1583469543,"13/07/22","13/07/22","COMPENSACIÓN","17683.76","17683.76","MN","MENSUAL"
1583469586,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469636,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469728,"13/07/22","13/07/22","COMPENSACIÓN","13947.71","13947.71","MN","MENSUAL"
1583469776,"13/07/22","13/07/22","COMPENSACIÓN","47562.34","47562.34","MN","MENSUAL"
1583467441,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583467542,"13/07/22","13/07/22","COMPENSACIÓN","32309.47","32309.47","MN","MENSUAL"
1583467586,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467632,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583467723,"13/07/22","13/07/22","COMPENSACIÓN","34799.05","34799.05","MN","MENSUAL"
1583467766,"13/07/22","13/07/22","COMPENSACIÓN","15070.54","15070.54","MN","MENSUAL"
1583467859,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467860,"13/07/22","13/07/22","COMPENSACIÓN","20683.33","20683.33","MN","MENSUAL"
1583467861,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467951,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468278,"13/07/22","13/07/22","COMPENSACIÓN","14493.55","14493.55","MN","MENSUAL"
1583468280,"13/07/22","13/07/22","COMPENSACIÓN","13302.75","13302.75","MN","MENSUAL"
1583468329,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468432,"13/07/22","13/07/22","COMPENSACIÓN","24223.62","24223.62","MN","MENSUAL"
1583468473,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468595,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468834,"13/07/22","13/07/22","COMPENSACIÓN","13362.1","13362.1","MN","MENSUAL"
1583468835,"13/07/22","13/07/22","COMPENSACIÓN","65258.17","65258.17","MN","MENSUAL"
1583468836,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468931,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469175,"13/07/22","13/07/22","COMPENSACIÓN","32309.47","32309.47","MN","MENSUAL"
1583469176,"13/07/22","13/07/22","COMPENSACIÓN","19201.41","19201.41","MN","MENSUAL"
1583469217,"13/07/22","13/07/22","COMPENSACIÓN","11922.74","11922.74","MN","MENSUAL"
1583469361,"13/07/22","13/07/22","COMPENSACIÓN","11330.88","11330.88","MN","MENSUAL"
1583469364,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583467403,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467955,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467957,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468103,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468105,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468146,"13/07/22","13/07/22","COMPENSACIÓN","21057.94","21057.94","MN","MENSUAL"
1583468193,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468283,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468284,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468385,"13/07/22","13/07/22","COMPENSACIÓN","10238.47","10238.47","MN","MENSUAL"
1583468523,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468980,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468981,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583468982,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469178,"13/07/22","13/07/22","COMPENSACIÓN","10238.47","10238.47","MN","MENSUAL"
1583469180,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469182,"13/07/22","13/07/22","COMPENSACIÓN","10238.47","10238.47","MN","MENSUAL"
1583469410,"13/07/22","13/07/22","COMPENSACIÓN","13881.79","13881.79","MN","MENSUAL"
1583469550,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583469553,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469591,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469641,"13/07/22","13/07/22","COMPENSACIÓN","32309.47","32309.47","MN","MENSUAL"
1583469645,"13/07/22","13/07/22","COMPENSACIÓN","45985.36","45985.36","MN","MENSUAL"
1583469736,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467498,"13/07/22","13/07/22","COMPENSACIÓN","20683.27","20683.27","MN","MENSUAL"
1583467499,"13/07/22","13/07/22","COMPENSACIÓN","34799.05","34799.05","MN","MENSUAL"
1583467727,"13/07/22","13/07/22","COMPENSACIÓN","12864.94","12864.94","MN","MENSUAL"
1583467863,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583467915,"13/07/22","13/07/22","COMPENSACIÓN","15115.83","15115.83","MN","MENSUAL"
1583467918,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468058,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468333,"13/07/22","13/07/22","COMPENSACIÓN","24223.62","24223.62","MN","MENSUAL"
1583468335,"13/07/22","13/07/22","COMPENSACIÓN","13947.71","13947.71","MN","MENSUAL"
1583468527,"13/07/22","13/07/22","COMPENSACIÓN","13302.75","13302.75","MN","MENSUAL"
1583468748,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583469032,"13/07/22","13/07/22","COMPENSACIÓN","24223.62","24223.62","MN","MENSUAL"
1583469033,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469034,"13/07/22","13/07/22","COMPENSACIÓN","26942.23","26942.23","MN","MENSUAL"
1583469224,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583469323,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469514,"13/07/22","13/07/22","COMPENSACIÓN","11330.88","11330.88","MN","MENSUAL"
1583467502,"13/07/22","13/07/22","COMPENSACIÓN","9416.46","9416.46","MN","MENSUAL"
1583467638,"13/07/22","13/07/22","COMPENSACIÓN","10575.57","10575.57","MN","MENSUAL"
1583467639,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467641,"13/07/22","13/07/22","COMPENSACIÓN","10575.57","10575.57","MN","MENSUAL"
1583467682,"13/07/22","13/07/22","COMPENSACIÓN","13302.75","13302.75","MN","MENSUAL"
1583467683,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467776,"13/07/22","13/07/22","COMPENSACIÓN","27031.63","27031.63","MN","MENSUAL"
1583467818,"13/07/22","13/07/22","COMPENSACIÓN","19391.86","19391.86","MN","MENSUAL"
1583467962,"13/07/22","13/07/22","COMPENSACIÓN","11330.88","11330.88","MN","MENSUAL"
1583468060,"13/07/22","13/07/22","COMPENSACIÓN","2410.46","2410.46","MN","MENSUAL"
1583468289,"13/07/22","13/07/22","COMPENSACIÓN","47562.34","47562.34","MN","MENSUAL"
1583468751,"13/07/22","13/07/22","COMPENSACIÓN","11922.74","11922.74","MN","MENSUAL"
1583469087,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469185,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469186,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583469227,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469229,"13/07/22","13/07/22","COMPENSACIÓN","21740.87","21740.87","MN","MENSUAL"
1583469230,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469231,"13/07/22","13/07/22","COMPENSACIÓN","12640.1","12640.1","MN","MENSUAL"
1583469369,"13/07/22","13/07/22","COMPENSACIÓN","2625.08","2625.08","MN","MENSUAL"
1583469516,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469517,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469518,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583469648,"13/07/22","13/07/22","COMPENSACIÓN","32309.47","32309.47","MN","MENSUAL"
1583467456,"13/07/22","13/07/22","COMPENSACIÓN","13362.1","13362.1","MN","MENSUAL"
1583467553,"13/07/22","13/07/22","COMPENSACIÓN","12733.99","12733.99","MN","MENSUAL"
1583467734,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583467735,"13/07/22","13/07/22","COMPENSACIÓN","65258.17","65258.17","MN","MENSUAL"
1583467872,"13/07/22","13/07/22","COMPENSACIÓN","16627.66","16627.66","MN","MENSUAL"
1583467919,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468012,"13/07/22","13/07/22","COMPENSACIÓN","8605.77","8605.77","MN","MENSUAL"
1583468157,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
1583468202,"13/07/22","13/07/22","COMPENSACIÓN","12733.99","12733.99","MN","MENSUAL"
1583468341,"13/07/22","13/07/22","COMPENSACIÓN","15010.34","15010.34","MN","MENSUAL"
