Información relacionada a:,Apoyos económicos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS APOYOS ECONÓMICOS","MONTO BRUTO DE LOS APOYOS ECONÓMICOS","MONTO NETO DE LOS APOYOS ECONÓMICOS","TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS","PERIODICIDAD DE LOS APOYOS ECONÓMICOS"
51775397,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51768471,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768108,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766878,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768224,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51767452,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768410,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768299,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766994,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766492,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765717,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51766384,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766359,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765705,"18/08/22","18/08/22","GUARDERIA","2976.44","2976.44","PESOS MEXICANOS","MENSUAL"
51766204,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766046,"18/08/22","18/08/22","GUARDERIA","2592.7","2592.7","PESOS MEXICANOS","MENSUAL"
51765765,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765608,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764351,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764905,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766636,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765370,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764231,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765807,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51772369,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771466,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774296,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772510,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772130,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772061,"18/08/22","18/08/22","GUARDERIA","2976.48","2976.48","PESOS MEXICANOS","MENSUAL"
51772504,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771243,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770420,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772055,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773331,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772568,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772115,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771010,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770922,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774200,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770317,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774080,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771430,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770618,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769036,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51773666,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774009,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773660,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773301,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772850,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772844,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770292,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768803,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772604,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770593,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769006,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776915,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775761,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775089,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774864,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774565,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777222,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774559,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51775460,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777507,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776976,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51776204,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775155,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774333,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774327,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777203,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776734,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51776431,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51775900,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51777489,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774689,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777264,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774388,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774901,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774523,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777461,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51777171,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777095,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776619,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775869,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774889,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774511,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776236,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777535,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777077,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776078,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775929,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777150,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775396,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51768470,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766877,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768223,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51767451,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768409,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768298,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768107,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768107,"18/08/22","18/08/22","CANASTILLA","760","760","PESOS MEXICANOS","MENSUAL"
51766993,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764817,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51766491,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765716,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51766383,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766358,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765704,"18/08/22","18/08/22","GUARDERIA","2976.44","2976.44","PESOS MEXICANOS","MENSUAL"
51766203,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766045,"18/08/22","18/08/22","GUARDERIA","2592.7","2592.7","PESOS MEXICANOS","MENSUAL"
51765764,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51765607,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764350,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51764690,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51766069,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51766635,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51765369,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51764230,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772368,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772135,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771465,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774295,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772509,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772129,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772503,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772060,"18/08/22","18/08/22","GUARDERIA","2976.48","2976.48","PESOS MEXICANOS","MENSUAL"
51771242,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770419,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772054,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768839,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773330,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772567,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51772114,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771009,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770921,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774199,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770316,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774079,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771429,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770617,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769035,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51773665,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774008,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773659,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773300,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772849,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772843,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770291,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768802,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768802,"18/08/22","18/08/22","CANASTILLA","760","760","PESOS MEXICANOS","MENSUAL"
