Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
51777525,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767857,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767857,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768266,"18/08/22","18/08/22","Herramientas de Trabajo","10000","10000","PESOS MEXICANOS","MENSUAL"
51767490,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767490,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767490,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767217,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767144,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767144,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767144,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767484,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767484,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767484,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767211,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767138,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767138,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767138,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768191,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767132,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767132,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767132,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768440,"18/08/22","18/08/22","Herramientas de Trabajo","3500","3500","PESOS MEXICANOS","MENSUAL"
51767857,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51766988,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51766988,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51766988,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768471,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768471,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768471,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768465,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768465,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768465,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768477,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768477,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768477,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768446,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768446,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768446,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768434,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768434,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768434,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768003,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768003,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768003,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767930,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767930,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767930,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767714,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767714,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767714,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767636,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767636,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767636,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767416,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767416,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767416,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767223,"18/08/22","18/08/22","Herramientas de Trabajo","5821.74","5821.74","PESOS MEXICANOS","MENSUAL"
51767150,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
