Información relacionada a:,Gratificaciones, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS GRATIFICACIONES","MONTO BRUTO DE LAS GRATIFICACIONES","MONTO NETO DE LAS GRATIFICACIONES","TIPO DE MONEDA DE LAS GRATIFICACIONES","PERIODICIDAD DE LAS GRATIFICACIONES"
51777525,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766988,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768471,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768465,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768477,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768446,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768434,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768003,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767930,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767857,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767714,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767636,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767416,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767296,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767223,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767150,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767066,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766982,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766908,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768272,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768266,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768248,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768242,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767924,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767851,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767782,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767630,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767559,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767490,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767410,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767290,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767217,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767144,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767060,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766976,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51766902,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768136,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768124,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768114,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768108,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51768203,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767996,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767776,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767708,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767553,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767484,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767404,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767284,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767211,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
51767138,"18/08/22","18/08/22","Aguinaldo, 40 días de salario integrado","","","PESOS MEXICANOS","ANUAL"
