Información relacionada a:,Gratificaciones, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS GRATIFICACIONES","MONTO BRUTO DE LAS GRATIFICACIONES","MONTO NETO DE LAS GRATIFICACIONES","TIPO DE MONEDA DE LAS GRATIFICACIONES","PERIODICIDAD DE LAS GRATIFICACIONES"
198422770,"11/08/22","11/08/22","AGUINALDO","9849.02","9849.02","PESOS MEXICANOS","ANUAL"
198409959,"11/08/22","11/08/22","AGUINALDO","13162.23","13162.23","PESOS MEXICANOS","ANUAL"
198409673,"11/08/22","11/08/22","AGUINALDO","13406.01","13406.01","PESOS MEXICANOS","ANUAL"
198411771,"11/08/22","11/08/22","AGUINALDO","10405.74","10405.74","PESOS MEXICANOS","ANUAL"
198409958,"11/08/22","11/08/22","AGUINALDO","3656.21","3656.21","PESOS MEXICANOS","ANUAL"
198409657,"11/08/22","11/08/22","AGUINALDO","7143.89","7143.89","PESOS MEXICANOS","ANUAL"
198411650,"11/08/22","11/08/22","AGUINALDO","4936.81","4936.81","PESOS MEXICANOS","ANUAL"
198411300,"11/08/22","11/08/22","AGUINALDO","3135.33","3135.33","PESOS MEXICANOS","ANUAL"
198413730,"11/08/22","11/08/22","AGUINALDO","2981.55","2981.55","PESOS MEXICANOS","ANUAL"
198413729,"11/08/22","11/08/22","AGUINALDO","234.92","234.92","PESOS MEXICANOS","ANUAL"
198411275,"11/08/22","11/08/22","AGUINALDO","7340.89","7340.89","PESOS MEXICANOS","ANUAL"
198410180,"11/08/22","11/08/22","AGUINALDO","6480.61","6480.61","PESOS MEXICANOS","ANUAL"
198412291,"11/08/22","11/08/22","AGUINALDO","10043.98","10043.98","PESOS MEXICANOS","ANUAL"
198416293,"11/08/22","11/08/22","AGUINALDO","4188.13","4188.13","PESOS MEXICANOS","ANUAL"
198416855,"11/08/22","11/08/22","AGUINALDO","4456.66","4456.66","PESOS MEXICANOS","ANUAL"
198418694,"11/08/22","11/08/22","AGUINALDO","14417.65","14417.65","PESOS MEXICANOS","ANUAL"
198418442,"11/08/22","11/08/22","AGUINALDO","5231.64","5231.64","PESOS MEXICANOS","ANUAL"
198446635,"11/08/22","11/08/22","AGUINALDO","1601.05","1601.05","PESOS MEXICANOS","ANUAL"
198442982,"11/08/22","11/08/22","AGUINALDO","14315.3","14315.3","PESOS MEXICANOS","ANUAL"
198438183,"11/08/22","11/08/22","AGUINALDO","6713.23","6713.23","PESOS MEXICANOS","ANUAL"
198433072,"11/08/22","11/08/22","AGUINALDO","6259.47","6259.47","PESOS MEXICANOS","ANUAL"
198432745,"11/08/22","11/08/22","AGUINALDO","9446.26","9446.26","PESOS MEXICANOS","ANUAL"
198433218,"11/08/22","11/08/22","AGUINALDO","2597.4","2597.4","PESOS MEXICANOS","ANUAL"
198432926,"11/08/22","11/08/22","AGUINALDO","1044.65","1044.65","PESOS MEXICANOS","ANUAL"
198434632,"11/08/22","11/08/22","AGUINALDO","3000.07","3000.07","PESOS MEXICANOS","ANUAL"
198438286,"11/08/22","11/08/22","AGUINALDO","1118.87","1118.87","PESOS MEXICANOS","ANUAL"
198433951,"11/08/22","11/08/22","AGUINALDO","5485.33","5485.33","PESOS MEXICANOS","ANUAL"
198438252,"11/08/22","11/08/22","AGUINALDO","844.73","844.73","PESOS MEXICANOS","ANUAL"
198425179,"11/08/22","11/08/22","AGUINALDO","8928.95","8928.95","PESOS MEXICANOS","ANUAL"
198424844,"11/08/22","11/08/22","AGUINALDO","1005.13","1005.13","PESOS MEXICANOS","ANUAL"
198424798,"11/08/22","11/08/22","AGUINALDO","3273.06","3273.06","PESOS MEXICANOS","ANUAL"
198425079,"11/08/22","11/08/22","AGUINALDO","3352.99","3352.99","PESOS MEXICANOS","ANUAL"
198425080,"11/08/22","11/08/22","AGUINALDO","6860.97","6860.97","PESOS MEXICANOS","ANUAL"
198425150,"11/08/22","11/08/22","AGUINALDO","58.03","58.03","PESOS MEXICANOS","ANUAL"
198424815,"11/08/22","11/08/22","AGUINALDO","3273.06","3273.06","PESOS MEXICANOS","ANUAL"
198425461,"11/08/22","11/08/22","AGUINALDO","4290.81","4290.81","PESOS MEXICANOS","ANUAL"
198426576,"11/08/22","11/08/22","AGUINALDO","3807.09","3807.09","PESOS MEXICANOS","ANUAL"
198411350,"11/08/22","11/08/22","AGUINALDO","10013.62","10013.62","PESOS MEXICANOS","ANUAL"

