Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
198422770,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","81018.41","81018.41","PESOS MEXICANOS","ANUAL"
198413730,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","106501.72","106501.72","PESOS MEXICANOS","ANUAL"
198415195,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","7089.62","7089.62","PESOS MEXICANOS","ANUAL"
198416855,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","96658.29","96658.29","PESOS MEXICANOS","ANUAL"
198432230,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","101500.42","101500.42","PESOS MEXICANOS","ANUAL"
198442982,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","9761.39","9761.39","PESOS MEXICANOS","ANUAL"
198438183,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","69862.53","69862.53","PESOS MEXICANOS","ANUAL"
198432926,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","57558.54","57558.54","PESOS MEXICANOS","ANUAL"
198434632,"11/08/22","11/08/22","PRIMA LEGAL DE ANTIGUEDAD","3195.51","3195.51","PESOS MEXICANOS","ANUAL"
198415371,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198415322,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","55305.82","55305.82","PESOS MEXICANOS","ANUAL"
198415321,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","14189.62","14189.62","PESOS MEXICANOS","ANUAL"
198421881,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","5693.36","5693.36","PESOS MEXICANOS","ANUAL"
198422262,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198422628,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","15170.64","15170.64","PESOS MEXICANOS","ANUAL"
198423010,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","23011.56","23011.56","PESOS MEXICANOS","ANUAL"
198423182,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","1856.37","1856.37","PESOS MEXICANOS","ANUAL"
198423183,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","47468.02","47468.02","PESOS MEXICANOS","ANUAL"
198423329,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","47535.13","47535.13","PESOS MEXICANOS","ANUAL"
198424019,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","9862.94","9862.94","PESOS MEXICANOS","ANUAL"
198424020,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","11847.13","11847.13","PESOS MEXICANOS","ANUAL"
198422593,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","11774.15","11774.15","PESOS MEXICANOS","ANUAL"
198423433,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198420900,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","16048.7","16048.7","PESOS MEXICANOS","ANUAL"
198422599,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","11214.58","11214.58","PESOS MEXICANOS","ANUAL"
198422543,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","31587.22","31587.22","PESOS MEXICANOS","ANUAL"
198423113,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","102751.63","102751.63","PESOS MEXICANOS","ANUAL"
198421464,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","43502.31","43502.31","PESOS MEXICANOS","ANUAL"
198422957,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","31921.72","31921.72","PESOS MEXICANOS","ANUAL"
198423117,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","94936.04","94936.04","PESOS MEXICANOS","ANUAL"
198423450,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","114729.46","114729.46","PESOS MEXICANOS","ANUAL"
198423949,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","146641.82","146641.82","PESOS MEXICANOS","ANUAL"
198421290,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","18164.85","18164.85","PESOS MEXICANOS","ANUAL"
198422820,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","3095.64","3095.64","PESOS MEXICANOS","ANUAL"
198422959,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","64915.98","64915.98","PESOS MEXICANOS","ANUAL"
198423041,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","33418.36","33418.36","PESOS MEXICANOS","ANUAL"
198420738,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","15627.2","15627.2","PESOS MEXICANOS","ANUAL"
198421302,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","20817.85","20817.85","PESOS MEXICANOS","ANUAL"
198422774,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","63380.18","63380.18","PESOS MEXICANOS","ANUAL"
198424102,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","62023.45","62023.45","PESOS MEXICANOS","ANUAL"
198421397,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","20739.19","20739.19","PESOS MEXICANOS","ANUAL"
198422981,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","19678.23","19678.23","PESOS MEXICANOS","ANUAL"
198423054,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","47064.93","47064.93","PESOS MEXICANOS","ANUAL"
198423055,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","74189.7","74189.7","PESOS MEXICANOS","ANUAL"
198422221,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111284.54","111284.54","PESOS MEXICANOS","ANUAL"
198421137,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","31921.72","31921.72","PESOS MEXICANOS","ANUAL"
198422988,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","24579.17","24579.17","PESOS MEXICANOS","ANUAL"
198421502,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","9158.64","9158.64","PESOS MEXICANOS","ANUAL"
198422924,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","46368.56","46368.56","PESOS MEXICANOS","ANUAL"
198423073,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","94936.04","94936.04","PESOS MEXICANOS","ANUAL"
198420669,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","204507.64","204507.64","PESOS MEXICANOS","ANUAL"
198420670,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","95070.27","95070.27","PESOS MEXICANOS","ANUAL"
198423257,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111441.89","111441.89","PESOS MEXICANOS","ANUAL"
198422340,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","19133.43","19133.43","PESOS MEXICANOS","ANUAL"
198420973,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","111441.89","111441.89","PESOS MEXICANOS","ANUAL"
198421341,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","10191.89","10191.89","PESOS MEXICANOS","ANUAL"
198422257,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","4149.58","4149.58","PESOS MEXICANOS","ANUAL"
198436060,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","113819.57","113819.57","PESOS MEXICANOS","ANUAL"
198434531,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","16421.83","16421.83","PESOS MEXICANOS","ANUAL"
198434532,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","16585.98","16585.98","PESOS MEXICANOS","ANUAL"
198433015,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","3806.35","3806.35","PESOS MEXICANOS","ANUAL"
198438328,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.,CLAUSULA QUINTA TRANSITORIA","91923.64","91923.64","PESOS MEXICANOS","ANUAL"
198433579,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","9585.41","9585.41","PESOS MEXICANOS","ANUAL"
