Información relacionada a:,Prestaciones en especie y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DESCRIPCIÓN DE LAS PRESTACIONES EN ESPECIE","PERIODICIDAD DE LAS PRESTACIONES EN ESPECIE"
198425471,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414355,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414173,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411049,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414353,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414166,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411426,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198409772,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198410523,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411662,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198410929,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411403,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414077,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414250,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198414121,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411185,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411622,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198410884,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198413037,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411075,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411064,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411345,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198411152,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198418572,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198418475,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198416251,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198418545,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198416521,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198418359,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198445997,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198445181,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198432122,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198432078,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198428662,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198429414,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198427868,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198427775,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
198428690,"11/08/22","11/08/22","VALE DE DESPENSA ADMVO","MENSUAL"
