Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
198422631,"11/08/22","11/08/22","PRIMA VACACIONAL","5039.48","5039.48","PESOS MEXICANOS","CUATRIMESTRAL"
198414169,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198414353,"11/08/22","11/08/22","PRIMA VACACIONAL","2940.85","2940.85","PESOS MEXICANOS","CUATRIMESTRAL"
198409959,"11/08/22","11/08/22","PRIMA VACACIONAL","3277.39","3277.39","PESOS MEXICANOS","CUATRIMESTRAL"
198409673,"11/08/22","11/08/22","PRIMA VACACIONAL","2437.45","2437.45","PESOS MEXICANOS","CUATRIMESTRAL"
198411771,"11/08/22","11/08/22","PRIMA VACACIONAL","770.79","770.79","PESOS MEXICANOS","CUATRIMESTRAL"
198409667,"11/08/22","11/08/22","PRIMA VACACIONAL","2042.5","2042.5","PESOS MEXICANOS","CUATRIMESTRAL"
198414280,"11/08/22","11/08/22","PRIMA VACACIONAL","12288.57","12288.57","PESOS MEXICANOS","CUATRIMESTRAL"
198414491,"11/08/22","11/08/22","PRIMA VACACIONAL","574.65","574.65","PESOS MEXICANOS","CUATRIMESTRAL"
198411650,"11/08/22","11/08/22","PRIMA VACACIONAL","1121.25","1121.25","PESOS MEXICANOS","CUATRIMESTRAL"
198414564,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198414317,"11/08/22","11/08/22","PRIMA VACACIONAL","5039.48","5039.48","PESOS MEXICANOS","CUATRIMESTRAL"
198414367,"11/08/22","11/08/22","PRIMA VACACIONAL","7699.21","7699.21","PESOS MEXICANOS","CUATRIMESTRAL"
198414366,"11/08/22","11/08/22","PRIMA VACACIONAL","979.9","979.9","PESOS MEXICANOS","CUATRIMESTRAL"
198414365,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198414184,"11/08/22","11/08/22","PRIMA VACACIONAL","11410.81","11410.81","PESOS MEXICANOS","CUATRIMESTRAL"
198414181,"11/08/22","11/08/22","PRIMA VACACIONAL","13166.33","13166.33","PESOS MEXICANOS","CUATRIMESTRAL"
198413730,"11/08/22","11/08/22","PRIMA VACACIONAL","1987.7","1987.7","PESOS MEXICANOS","CUATRIMESTRAL"
198412327,"11/08/22","11/08/22","PRIMA VACACIONAL","3219.67","3219.67","PESOS MEXICANOS","CUATRIMESTRAL"
198413729,"11/08/22","11/08/22","PRIMA VACACIONAL","156.62","156.62","PESOS MEXICANOS","CUATRIMESTRAL"
198411275,"11/08/22","11/08/22","PRIMA VACACIONAL","1223.47","1223.47","PESOS MEXICANOS","CUATRIMESTRAL"
198410884,"11/08/22","11/08/22","PRIMA VACACIONAL","611.74","611.74","PESOS MEXICANOS","CUATRIMESTRAL"
198413037,"11/08/22","11/08/22","PRIMA VACACIONAL","2744.83","2744.83","PESOS MEXICANOS","CUATRIMESTRAL"
198411064,"11/08/22","11/08/22","PRIMA VACACIONAL","51.1","51.1","PESOS MEXICANOS","CUATRIMESTRAL"
198410180,"11/08/22","11/08/22","PRIMA VACACIONAL","1383.24","1383.24","PESOS MEXICANOS","CUATRIMESTRAL"
198415195,"11/08/22","11/08/22","PRIMA VACACIONAL","11445.79","11445.79","PESOS MEXICANOS","CUATRIMESTRAL"
198412291,"11/08/22","11/08/22","PRIMA VACACIONAL","1850.93","1850.93","PESOS MEXICANOS","CUATRIMESTRAL"
198416293,"11/08/22","11/08/22","PRIMA VACACIONAL","622.13","622.13","PESOS MEXICANOS","CUATRIMESTRAL"
198416855,"11/08/22","11/08/22","PRIMA VACACIONAL","2971.11","2971.11","PESOS MEXICANOS","CUATRIMESTRAL"
198415423,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198415420,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198415406,"11/08/22","11/08/22","PRIMA VACACIONAL","14044.09","14044.09","PESOS MEXICANOS","CUATRIMESTRAL"
198417716,"11/08/22","11/08/22","PRIMA VACACIONAL","2400.4","2400.4","PESOS MEXICANOS","CUATRIMESTRAL"
198417924,"11/08/22","11/08/22","PRIMA VACACIONAL","440.75","440.75","PESOS MEXICANOS","CUATRIMESTRAL"
198418275,"11/08/22","11/08/22","PRIMA VACACIONAL","8840.42","8840.42","PESOS MEXICANOS","CUATRIMESTRAL"
198417199,"11/08/22","11/08/22","PRIMA VACACIONAL","9575.51","9575.51","PESOS MEXICANOS","CUATRIMESTRAL"
198415669,"11/08/22","11/08/22","PRIMA VACACIONAL","1675.71","1675.71","PESOS MEXICANOS","CUATRIMESTRAL"
198416521,"11/08/22","11/08/22","PRIMA VACACIONAL","3411.93","3411.93","PESOS MEXICANOS","CUATRIMESTRAL"
198420338,"11/08/22","11/08/22","PRIMA VACACIONAL","187.78","187.78","PESOS MEXICANOS","CUATRIMESTRAL"
198418694,"11/08/22","11/08/22","PRIMA VACACIONAL","3203.92","3203.92","PESOS MEXICANOS","CUATRIMESTRAL"
198415647,"11/08/22","11/08/22","PRIMA VACACIONAL","11410.81","11410.81","PESOS MEXICANOS","CUATRIMESTRAL"
198417375,"11/08/22","11/08/22","PRIMA VACACIONAL","1351.47","1351.47","PESOS MEXICANOS","CUATRIMESTRAL"
198446635,"11/08/22","11/08/22","PRIMA VACACIONAL","872.12","872.12","PESOS MEXICANOS","CUATRIMESTRAL"
198446620,"11/08/22","11/08/22","PRIMA VACACIONAL","1612.79","1612.79","PESOS MEXICANOS","CUATRIMESTRAL"
198445607,"11/08/22","11/08/22","PRIMA VACACIONAL","8426.45","8426.45","PESOS MEXICANOS","CUATRIMESTRAL"
198427341,"11/08/22","11/08/22","PRIMA VACACIONAL","4874.66","4874.66","PESOS MEXICANOS","CUATRIMESTRAL"
198432137,"11/08/22","11/08/22","PRIMA VACACIONAL","8238.66","8238.66","PESOS MEXICANOS","CUATRIMESTRAL"
198431959,"11/08/22","11/08/22","PRIMA VACACIONAL","702.44","702.44","PESOS MEXICANOS","CUATRIMESTRAL"
198431676,"11/08/22","11/08/22","PRIMA VACACIONAL","7157.84","7157.84","PESOS MEXICANOS","CUATRIMESTRAL"
198428667,"11/08/22","11/08/22","PRIMA VACACIONAL","12256.66","12256.66","PESOS MEXICANOS","CUATRIMESTRAL"
198428662,"11/08/22","11/08/22","PRIMA VACACIONAL","9958.53","9958.53","PESOS MEXICANOS","CUATRIMESTRAL"
198429861,"11/08/22","11/08/22","PRIMA VACACIONAL","1597.19","1597.19","PESOS MEXICANOS","CUATRIMESTRAL"
198431453,"11/08/22","11/08/22","PRIMA VACACIONAL","4596.24","4596.24","PESOS MEXICANOS","CUATRIMESTRAL"
198430994,"11/08/22","11/08/22","PRIMA VACACIONAL","2086.65","2086.65","PESOS MEXICANOS","CUATRIMESTRAL"
198430299,"11/08/22","11/08/22","PRIMA VACACIONAL","486.82","486.82","PESOS MEXICANOS","CUATRIMESTRAL"
198431383,"11/08/22","11/08/22","PRIMA VACACIONAL","453.18","453.18","PESOS MEXICANOS","CUATRIMESTRAL"
198428820,"11/08/22","11/08/22","PRIMA VACACIONAL","612.44","612.44","PESOS MEXICANOS","CUATRIMESTRAL"
198429414,"11/08/22","11/08/22","PRIMA VACACIONAL","805.97","805.97","PESOS MEXICANOS","CUATRIMESTRAL"
198428819,"11/08/22","11/08/22","PRIMA VACACIONAL","6299.36","6299.36","PESOS MEXICANOS","CUATRIMESTRAL"
198428718,"11/08/22","11/08/22","PRIMA VACACIONAL","1787.43","1787.43","PESOS MEXICANOS","CUATRIMESTRAL"
198427775,"11/08/22","11/08/22","PRIMA VACACIONAL","9958.53","9958.53","PESOS MEXICANOS","CUATRIMESTRAL"
198428712,"11/08/22","11/08/22","PRIMA VACACIONAL","12256.66","12256.66","PESOS MEXICANOS","CUATRIMESTRAL"
198428134,"11/08/22","11/08/22","PRIMA VACACIONAL","6597.75","6597.75","PESOS MEXICANOS","CUATRIMESTRAL"
198430911,"11/08/22","11/08/22","PRIMA VACACIONAL","4874.66","4874.66","PESOS MEXICANOS","CUATRIMESTRAL"
198428792,"11/08/22","11/08/22","PRIMA VACACIONAL","5879.4","5879.4","PESOS MEXICANOS","CUATRIMESTRAL"
198428689,"11/08/22","11/08/22","PRIMA VACACIONAL","7660.41","7660.41","PESOS MEXICANOS","CUATRIMESTRAL"
198430014,"11/08/22","11/08/22","PRIMA VACACIONAL","2291.96","2291.96","PESOS MEXICANOS","CUATRIMESTRAL"
198429631,"11/08/22","11/08/22","PRIMA VACACIONAL","946.29","946.29","PESOS MEXICANOS","CUATRIMESTRAL"
198428779,"11/08/22","11/08/22","PRIMA VACACIONAL","11490.62","11490.62","PESOS MEXICANOS","CUATRIMESTRAL"
198444431,"11/08/22","11/08/22","PRIMA VACACIONAL","1964.67","1964.67","PESOS MEXICANOS","CUATRIMESTRAL"
198443087,"11/08/22","11/08/22","PRIMA VACACIONAL","979.9","979.9","PESOS MEXICANOS","CUATRIMESTRAL"
198438378,"11/08/22","11/08/22","PRIMA VACACIONAL","10.56","10.56","PESOS MEXICANOS","CUATRIMESTRAL"
198442982,"11/08/22","11/08/22","PRIMA VACACIONAL","1478.58","1478.58","PESOS MEXICANOS","CUATRIMESTRAL"
198444154,"11/08/22","11/08/22","PRIMA VACACIONAL","6144.7","6144.7","PESOS MEXICANOS","CUATRIMESTRAL"
198444060,"11/08/22","11/08/22","PRIMA VACACIONAL","4105.26","4105.26","PESOS MEXICANOS","CUATRIMESTRAL"
198439325,"11/08/22","11/08/22","PRIMA VACACIONAL","10753.22","10753.22","PESOS MEXICANOS","CUATRIMESTRAL"
198443826,"11/08/22","11/08/22","PRIMA VACACIONAL","1612.79","1612.79","PESOS MEXICANOS","CUATRIMESTRAL"
198443384,"11/08/22","11/08/22","PRIMA VACACIONAL","3753.38","3753.38","PESOS MEXICANOS","CUATRIMESTRAL"
198442960,"11/08/22","11/08/22","PRIMA VACACIONAL","4209.28","4209.28","PESOS MEXICANOS","CUATRIMESTRAL"
198442870,"11/08/22","11/08/22","PRIMA VACACIONAL","1805.43","1805.43","PESOS MEXICANOS","CUATRIMESTRAL"
198443929,"11/08/22","11/08/22","PRIMA VACACIONAL","1876.7","1876.7","PESOS MEXICANOS","CUATRIMESTRAL"
198443866,"11/08/22","11/08/22","PRIMA VACACIONAL","2419.18","2419.18","PESOS MEXICANOS","CUATRIMESTRAL"
198442956,"11/08/22","11/08/22","PRIMA VACACIONAL","1788.73","1788.73","PESOS MEXICANOS","CUATRIMESTRAL"
198441878,"11/08/22","11/08/22","PRIMA VACACIONAL","5934.87","5934.87","PESOS MEXICANOS","CUATRIMESTRAL"
198438622,"11/08/22","11/08/22","PRIMA VACACIONAL","424.85","424.85","PESOS MEXICANOS","CUATRIMESTRAL"
198440879,"11/08/22","11/08/22","PRIMA VACACIONAL","7680.87","7680.87","PESOS MEXICANOS","CUATRIMESTRAL"
198441294,"11/08/22","11/08/22","PRIMA VACACIONAL","2950.12","2950.12","PESOS MEXICANOS","CUATRIMESTRAL"
198438187,"11/08/22","11/08/22","PRIMA VACACIONAL","4899.5","4899.5","PESOS MEXICANOS","CUATRIMESTRAL"
198432500,"11/08/22","11/08/22","PRIMA VACACIONAL","1847.37","1847.37","PESOS MEXICANOS","CUATRIMESTRAL"
198438183,"11/08/22","11/08/22","PRIMA VACACIONAL","1213.96","1213.96","PESOS MEXICANOS","CUATRIMESTRAL"
198434590,"11/08/22","11/08/22","PRIMA VACACIONAL","4777.02","4777.02","PESOS MEXICANOS","CUATRIMESTRAL"
198437511,"11/08/22","11/08/22","PRIMA VACACIONAL","6387.69","6387.69","PESOS MEXICANOS","CUATRIMESTRAL"
198434007,"11/08/22","11/08/22","PRIMA VACACIONAL","7218.01","7218.01","PESOS MEXICANOS","CUATRIMESTRAL"
198437592,"11/08/22","11/08/22","PRIMA VACACIONAL","55.99","55.99","PESOS MEXICANOS","CUATRIMESTRAL"
198437103,"11/08/22","11/08/22","PRIMA VACACIONAL","5599.43","5599.43","PESOS MEXICANOS","CUATRIMESTRAL"
198437102,"11/08/22","11/08/22","PRIMA VACACIONAL","2419.18","2419.18","PESOS MEXICANOS","CUATRIMESTRAL"
198434944,"11/08/22","11/08/22","PRIMA VACACIONAL","1507.06","1507.06","PESOS MEXICANOS","CUATRIMESTRAL"
198434941,"11/08/22","11/08/22","PRIMA VACACIONAL","938.34","938.34","PESOS MEXICANOS","CUATRIMESTRAL"
198432745,"11/08/22","11/08/22","PRIMA VACACIONAL","3433.25","3433.25","PESOS MEXICANOS","CUATRIMESTRAL"
198432926,"11/08/22","11/08/22","PRIMA VACACIONAL","696.43","696.43","PESOS MEXICANOS","CUATRIMESTRAL"
198436581,"11/08/22","11/08/22","PRIMA VACACIONAL","4619.53","4619.53","PESOS MEXICANOS","CUATRIMESTRAL"
198435475,"11/08/22","11/08/22","PRIMA VACACIONAL","7176.02","7176.02","PESOS MEXICANOS","CUATRIMESTRAL"
198438286,"11/08/22","11/08/22","PRIMA VACACIONAL","202.33","202.33","PESOS MEXICANOS","CUATRIMESTRAL"
198436127,"11/08/22","11/08/22","PRIMA VACACIONAL","2463.16","2463.16","PESOS MEXICANOS","CUATRIMESTRAL"
198434622,"11/08/22","11/08/22","PRIMA VACACIONAL","6702.66","6702.66","PESOS MEXICANOS","CUATRIMESTRAL"
198433951,"11/08/22","11/08/22","PRIMA VACACIONAL","1245.83","1245.83","PESOS MEXICANOS","CUATRIMESTRAL"
198436121,"11/08/22","11/08/22","PRIMA VACACIONAL","3694.74","3694.74","PESOS MEXICANOS","CUATRIMESTRAL"
198436094,"11/08/22","11/08/22","PRIMA VACACIONAL","2548.59","2548.59","PESOS MEXICANOS","CUATRIMESTRAL"
198434900,"11/08/22","11/08/22","PRIMA VACACIONAL","909.02","909.02","PESOS MEXICANOS","CUATRIMESTRAL"
198436292,"11/08/22","11/08/22","PRIMA VACACIONAL","3152.26","3152.26","PESOS MEXICANOS","CUATRIMESTRAL"
198424635,"11/08/22","11/08/22","PRIMA VACACIONAL","216.03","216.03","PESOS MEXICANOS","CUATRIMESTRAL"
198420476,"11/08/22","11/08/22","PRIMA VACACIONAL","3098.48","3098.48","PESOS MEXICANOS","CUATRIMESTRAL"
198424690,"11/08/22","11/08/22","PRIMA VACACIONAL","196.59","196.59","PESOS MEXICANOS","CUATRIMESTRAL"
198422671,"11/08/22","11/08/22","PRIMA VACACIONAL","4269.57","4269.57","PESOS MEXICANOS","CUATRIMESTRAL"
