Universidad,fuente
Benemérita Universidad Autónoma del Estado de Puebla,BUAP
Centro de Enseñanza Técnica Industrial (CETI),CETI
Centro de Investigación y Docencia Económicas,CIDE
Instituto Politécnico Nacional (IPN),IPN
Instituto Tecnológico de Sonora,ITSON
OA00700-Universidad Autónoma de Sinaloa,UAS
SEP-Universidad Abierta y a Distancia de México (UNADM*),UNADM
UNAM,UNAM
Universidad Autónoma Agraria Antonio Narro (UAAAN),UAAAN
UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA,UABJO
Universidad Autónoma Chapingo (UACH),UACH
Universidad Autónoma de Campeche,UACA
Universidad Autónoma de Chiapas,UACHI
Universidad Autónoma de Chihuahua,UACHIH
Universidad Autónoma de Ciudad Juárez,UACJ
Universidad Autónoma de Coahuila,UAC
Universidad Autónoma de la Ciudad de México,UACM
Universidad Autónoma de Nayarit,UAN
Universidad Autónoma de Nuevo León,UANL
Universidad Autónoma de Querétaro,UAQ
UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ (UASLP),UASLP
Universidad Autónoma de Tamaulipas,UAT
Universidad Autónoma de Yucatán,UAY
Universidad Autónoma de Zacatecas,UAZ
Universidad Autónoma del Carmen,UACR
Universidad Autónoma del Estado de Baja California,UABC
Universidad Autonoma del Estado de Hidalgo,UAEH
Universidad Autónoma del Estado de México,UAEM
Universidad Autónoma Metropolitana (UAM),UAM
Universidad de Colima (U. de C.),UDC
Universidad de Guadalajara,UDG
Universidad de Guanajuato,UGTO
UNIVERSIDAD DE QUINTANA ROO,UQRO
Universidad de Sonora,UNISON
UNIVERSIDAD JUÁREZ AUTÓNOMA DE TABASCO (UJAT),UJAT
Universidad Juárez del Estado de Durango,UJED
Universidad Michoacana de San Nicolás de Hidalgo,UMICH
Universidad Pedagógica Nacional (UPN),UPN
Universidad Veracruzana,UV
